Date,Reference,Bank description,Debit EUR,Credit EUR,Balance EUR
2026-01-01,OPEN,Opening balance,,80000,80000
2026-01-10,RCPT-001,Old customer AR settlement,,35000,115000
2026-02-12,RCPT-NS,N STAR EVENTS,,180000,295000
2026-03-01,LOAN-ADV,BALTIC BANK FACILITY,,50000,345000
2026-03-18,RCPT-FF,FREEDOM FEST 1/2,,142000,487000
2026-04-29,RCPT-PHX,PHOENIX PEOPLE TEAM,,70000,557000
2026-06-20,RCPT-LIB,LIBERTY HOTELS,,95000,652000
2026-08-01,PLAT-FSB,STRIPE SETTLEMENT FINALLY SINGLE,,250000,902000
2026-08-15,PLAT-NCB,STRIPE SETTLEMENT NEVER CALL BACK,,37000,939000
2026-08-28,DEP-NB,NEW BEGINNINGS SEPT,,60000,999000
2026-08-29,DEP-FF2,FRESH FREEDOM SEPT,,30000,1029000
2026-08-31,SUP-BOX,Box supplier batch payments,105000,,924000
2026-08-31,SUP-GLS,Glass supplier batch payments,92000,,832000
2026-08-31,SUP-PRT,Print supplier batch payments,81000,,751000
2026-08-31,SUP-EVT,Event supplier batch payments,100000,,651000
2026-08-31,PAYROLL,Payroll Jan-Aug combined,231000,,420000
2026-08-31,RENT,Rent Jan-Aug,48000,,372000
2026-08-31,MKT,"Meta, TikTok and influencers",55000,,317000
2026-08-31,SOFT,Software subscriptions,16000,,301000
2026-08-31,UTIL,Utilities,12000,,289000
2026-08-31,REPAIR,Emergency machine work,10000,,279000
2026-08-31,CAPEX-PACK,PACK-O-MATIC 9000,60000,,219000
2026-08-31,CAPEX-PHOTO,Regret Photo Booth,20000,,199000
2026-08-31,INT,Interest paid,10000,,189000
2026-08-31,PRINCIPAL,Loan principal,19000,,170000
2026-08-31,VILLA,SUNSET VILLA RESERVATION,70000,,100000
2026-08-31,OWNERCARD,Chairman's platinum card,40000,,60000
